Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
A Dance with Dragons,George R.R. Martin,"",9780002247399,hardcover,read,2013/08/13,"","",1,"",,,,,,,5.0,,"",,"",No
Little Fires Everywhere,Celeste Ng,"",9780349142920,paperback,read,2024/01/24,"","",1,"",,,,,,,,,"",,"",No
Oathbringer,Brandon Sanderson,"Kate Reading (Narrator), Michael Kramer (Narrator)",9781427275936,audio,read,2022/01/11,2022/01/13,2021/01/01-2022/01/13,1,"",,,,,,,,,"",,"",No
Where the Crawdads Sing,Delia Owens,"",9781472154668,paperback,read,2021/12/06,2021/12/01,2021/12/01,1,"reflective, emotional, inspiring, hopeful",medium,Character,Yes,Yes,It's complicated,It's complicated,4.0,"","","","",No
Annihilation,Jeff VanderMeer,"",9780374104092,paperback,to-read,2024/09/03,"","",0,"",,,,,,,,,"",,"",No
A Storm of Swords,George R.R. Martin,"",9780553573428,paperback,read,2013/08/13,"","",1,"",,,,,,,5.0,,"",,"",No
Kindred,Octavia E. Butler,"",9781472258229,paperback,"","","","","","","","","","","","","","","","","",Yes
Circe,Madeline Miller,"",9781408890042,paperback,"","","","","","","","","","","","","","","","","",Yes
A Confederacy of Dunces,John Kennedy Toole,Walker Percy (Contributor),9780241951590,paperback,"","","","","","","","","","","","","","","","","",Yes
Crime and Punishment,Fyodor Dostoevsky,Jessie Coulson (Translator),9780192833839,paperback,"","","","","","","","","","","","","","","","","",Yes
Treasure Island,Robert Louis Stevenson,"",9780140620832,paperback,"","","","","","","","","","","","","","","","","",Yes
The Handmaid's Tale,Margaret Atwood,"",9780099740919,paperback,"","","","","","","","","","","","","","","","","",Yes
The Etymologicon: A Circular Stroll Through the Hidden Connections of the English Language,Mark Forsyth,"",9781848313071,hardcover,"","","","","","","","","","","","","","","","","",Yes
"Kim Jiyoung, Born 1982",Cho Nam-joo,Jamie Chang (Translator),9781471184307,paperback,"","","","","","","","","","","","","","","","","",Yes
To the Lighthouse,Virginia Woolf,"",9780586044506,paperback,"","","","","","","","","","","","","","","","","",Yes
The Great Hunt,Robert Jordan,"",9781857230277,paperback,"","","","","","","","","","","","","","","","","",Yes
